the_geom,cartodb_id,bbl,fc_subsidy_id
,812160,1017100026,1000000000201
,812161,1017150048,1000000000202
,812162,1017180048,1000000000203
,812163,1019280002,1000000000203
,812164,1018480011,1000000000204
,812165,1018490043,1000000000204
,812166,1017240044,1000000000205
,812167,1017250002,1000000000206
,812168,1017250064,1000000000207
,812169,1017250066,1000000000208
,812170,1017250069,1000000000209
,812171,1017260025,1000000000210
,812172,1017260049,1000000000211
,812173,1020060017,1000000000211
,812174,1017260055,1000000000212
,812175,1017260061,1000000000213
,812176,1017270012,1000000000214
,812177,1017270018,1000000000215
,812178,1017280003,1000000000216
,812179,1017280072,1000000000217
,812180,1017290033,1000000000218
,812181,1017290042,1000000000219
,812182,1017290044,1000000000220
,812183,1017290052,1000000000221
,812184,1017350006,1000000000222
